,Date of Designation,City,Country,"Date of
Incident",Description
298,"June 28, 2010",Addis Ababa,Ethiopia,"May 20, 2008",Bombing
299,"June 28, 2010",Quetta,Pakistan,"February 2, 2009",Kidnapping
300,"June 28, 2010",Sanaa,Yemen,"September 17, 2008",Murder
301,"June 28, 2010",Jerusalem, ,"October 9, 1994",Armed attack
302,"June 28, 2010",Karachi,Pakistan,"March 8, 1995",Armed attack
303,,,,,
304,"June 28, 2010",Riyadh,Saudi Arabia,"November 13, 1995",Bombing
305,"June 28, 2010",Colombo,Sri Lanka,"January 31, 1996",Bombing
306,"June 28, 2010", ,Colombia,"March 21, 1998",Kidnapping
307,"June 28, 2010",Kampala,Uganda,"February 14, 1999",Bombing
308,"June 28, 2010", ,Uganda,"March 1, 1999",Murder
309,"June 28, 2010",Cali,Colombia,"May 30, 1999",Kidnapping
310,"June 28, 2010", ,Colombia,"March 7, 1997",Kidnapping
311,"June 28, 2010",Bogotá,Colombia,"June 27, 2000",Kidnapping
312,"June 28, 2010",Paris,France,"December 3, 1996",Bombing
313,"June 28, 2010",London,England,"February 9, 1996",Bombing
314,"June 28, 2010", ,Panama,"January 31, 1993",Murder
315,"June 17, 2010", ,Gaza Strip,"April 9, 1995",Bombing
316,"June 17, 2010",Tokyo,Japan,"March 20, 1995",Poisonous gas attack
317,"June 10, 2010", ,Israel,"July 6, 1989",Bus attack
318,"June 10, 2010", ,Colombia,"September 23, 1994",Kidnapping
319,"June 10, 2010", ,Greece,"March 12, 1991",Murder
320,"June 10, 2010", ,Philippines,"April 21, 1989",Murder
321,"June 10, 2010",West Papua,Indonesia,"August 31, 2002",Murder
322,"June 10, 2010",Jerusalem, ,"August 21, 1995",Bombing
323,"June 8, 2010",Baghdad,Iraq,"August 19, 2003",Suicide bombing
324,"June 8, 2010", ,Niger,"September 18, 1989",Bombing of UTA Flight 772
325,"June 8, 2010",Napuordit,Sudan,"August 17, 1996",Kidnapping
326,"June 8, 2010",Jerusalem, ,"February 25, 1996",Murder
327,"June 8, 2010", ,Colombia,"December 11, 1996",Kidnapping/Murder
328,"June 8, 2010",Lima,Peru,"December 17, 1996",Hostage taking
329,"June 8, 2010", ,Sudan,"November 1, 1996",Kidnapping
330,"May 26, 2010", ,Colombia,"January 19, 1996",Kidnapping
331,"May 26, 2010", ,Lebanon,"February 17, 1988",Hostage taking and murder
332,"May 26, 2010","Hato Nuevo, La Guarjira Department",Colombia,"February 16, 1996",Kidnapping
333,"May 26, 2010",Cairo,Egypt,"February 26, 1993",Bombing
334,"May 26, 2010",Tel Aviv,Israel,"March 4, 1996",Suicide bombing
335,"May 26, 2010",Pangutaran Island,Philippines,"November 14, 1993",Kidnapping
336,"May 26, 2010",Al-Khubar,Saudi Arabia,"May 30, 2004",Armed attack
337,"May 20, 2010",Kabul,Afghanistan,"August 20, 2008",Kidnapping
338,"May 20, 2010",Baghdad,Iraq,"November 1, 2004",Kidnapping/armed attack
339,"May 20, 2010",Baghdad,Iraq,"January 3, 2005",Murder
340,"May 20, 2010",Fallujah,Iraq,"May 25, 2009",Murder
341,"May 20, 2010",Baghdad,Iraq,"May 7, 2005",Murder
342,"April 8, 2010",Kashmir,India,"July 4, 1995",Kidnapping
343,"April 8, 2010",Karachi,Pakistan,"November 12, 1997",Murder
344,"April 5, 2010",Alexandria,Egypt,"October 7, 1985",Murder during Cruise Ship hijacking
345,"April 5, 2010",Karachi,Pakistan,"January 23, 2002",Kidnapping and murder
346,"April 5, 2010",Teqoa,West Bank,"May 9, 2001",Murder of U.S. National
347,"March 19, 2010", ,Colombia,"March 4, 1999",Kidnapping/Murder
348,"March 19, 2010", ,Yemen,"October 12, 2000",Small boat carrying explosives rammed into the side of the U.S.S. Cole as it was docked in Yemen
349,"March 9, 2010",Mandera,Kenya,"July 17, 2009",American kidnapped and held hostage for 79 days
350,"March 9, 2010",Forcados Rivers,Nigeria,"February 18, 2006","Kidnapping of nine foreign oil workers, including three Americans"
351,"March 9, 2010",Dar es Salaam,Tanzania,"August 7, 1998",Bombing of U.S. Embassy killing seven Foreign Service Nationals and one American
352,"March 9, 2010",Taba,Egypt,"October 7, 2004",Bombing of Taba Hilton Hotel
353,"March 9, 2010",Jerusalem, ,"July 31, 2002","Bombing at Hebrew University killing nine, including five U.S. citizens"
354,"March 9, 2010",Florence,Colombia,"February 13, 2003",Hostage taking of four Americans; one murdered
355,"March 9, 2010",Tel Aviv,Israel,"April 30, 2003",Suicide bombing in a bar near the U.S. Embassy
356,"March 9, 2010",Amman,Jordan,"November 9, 2005","Suicide bombings of three hotels in Amman, Jordan"
357,"March 9, 2010",Nouakchott Trarza,Mauritania,"June 23, 2009",Armed attackers killed an American working at a school
358,"March 9, 2010",Mogadishu,Somalia,"September 17, 2009",Two suicide bombings of a fuel depot and an American business
359,"January 28, 2010",Athens,Greece,"April 2, 1986",Bombing of TWA Flight 840
